GEOID,B23022_001E,B23022_002E,B23022_003E,B23022_004E,B23022_005E,B23022_006E,B23022_007E,B23022_008E,B23022_009E,B23022_010E,B23022_011E,B23022_012E,B23022_013E,B23022_014E,B23022_015E,B23022_016E,B23022_017E,B23022_018E,B23022_019E,B23022_020E,B23022_021E,B23022_022E,B23022_023E,B23022_024E,B23022_025E,B23022_026E,B23022_027E,B23022_028E,B23022_029E,B23022_030E,B23022_031E,B23022_032E,B23022_033E,B23022_034E,B23022_035E,B23022_036E,B23022_037E,B23022_038E,B23022_039E,B23022_040E,B23022_041E,B23022_042E,B23022_043E,B23022_044E,B23022_045E,B23022_046E,B23022_047E,B23022_048E,B23022_049E
37051003102,3470.0,1719.0,1159.0,994.0,897.0,25.0,62.0,0.0,10.0,0.0,158.0,79.0,0.0,10.0,0.0,54.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,560.0,1751.0,1079.0,792.0,673.0,32.0,30.0,24.0,33.0,0.0,259.0,139.0,0.0,16.0,54.0,27.0,23.0,28.0,0.0,0.0,0.0,0.0,3.0,25.0,672.0
37051003103,3873.0,1866.0,1378.0,1198.0,1060.0,30.0,10.0,6.0,13.0,79.0,131.0,112.0,0.0,0.0,6.0,13.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,488.0,2007.0,1368.0,1001.0,823.0,15.0,54.0,25.0,47.0,37.0,308.0,184.0,0.0,12.0,27.0,44.0,41.0,59.0,35.0,0.0,0.0,24.0,0.0,0.0,639.0
37051003105,2951.0,1447.0,1130.0,909.0,826.0,18.0,13.0,12.0,29.0,11.0,194.0,42.0,32.0,21.0,0.0,28.0,71.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,317.0,1504.0,1067.0,622.0,518.0,13.0,60.0,22.0,0.0,9.0,340.0,255.0,0.0,0.0,35.0,50.0,0.0,105.0,56.0,29.0,0.0,0.0,0.0,20.0,437.0
37051003106,1534.0,690.0,432.0,314.0,248.0,0.0,0.0,13.0,0.0,53.0,118.0,87.0,0.0,15.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,844.0,510.0,258.0,199.0,0.0,9.0,34.0,0.0,16.0,187.0,46.0,0.0,0.0,12.0,27.0,102.0,65.0,51.0,0.0,0.0,0.0,0.0,14.0,334.0
37051003203,2912.0,1332.0,1188.0,942.0,827.0,0.0,13.0,26.0,36.0,40.0,191.0,116.0,0.0,31.0,26.0,0.0,18.0,55.0,14.0,0.0,0.0,13.0,0.0,28.0,144.0,1580.0,1175.0,960.0,737.0,15.0,29.0,61.0,70.0,48.0,173.0,111.0,0.0,0.0,42.0,20.0,0.0,42.0,18.0,0.0,0.0,0.0,0.0,24.0,405.0
37051003205,2990.0,1496.0,1023.0,866.0,711.0,20.0,6.0,20.0,74.0,35.0,143.0,40.0,0.0,0.0,26.0,60.0,17.0,14.0,0.0,0.0,0.0,6.0,0.0,8.0,473.0,1494.0,1186.0,958.0,790.0,7.0,42.0,68.0,27.0,24.0,209.0,88.0,0.0,34.0,11.0,47.0,29.0,19.0,9.0,0.0,0.0,10.0,0.0,0.0,308.0
37051003206,3936.0,2060.0,1834.0,1575.0,1263.0,0.0,80.0,53.0,94.0,85.0,229.0,206.0,0.0,0.0,0.0,0.0,23.0,30.0,0.0,0.0,0.0,0.0,16.0,14.0,226.0,1876.0,1418.0,1160.0,949.0,52.0,51.0,35.0,19.0,54.0,110.0,88.0,0.0,0.0,0.0,0.0,22.0,148.0,29.0,0.0,0.0,29.0,63.0,27.0,458.0
37051003207,4728.0,2197.0,1681.0,1352.0,1171.0,44.0,51.0,0.0,26.0,60.0,282.0,113.0,46.0,0.0,85.0,38.0,0.0,47.0,22.0,0.0,25.0,0.0,0.0,0.0,516.0,2531.0,1836.0,1376.0,969.0,0.0,217.0,55.0,0.0,135.0,325.0,93.0,0.0,69.0,35.0,69.0,59.0,135.0,0.0,0.0,34.0,0.0,42.0,59.0,695.0
37051003208,2824.0,1500.0,1235.0,1067.0,869.0,1.0,86.0,13.0,33.0,65.0,117.0,29.0,0.0,0.0,0.0,19.0,69.0,51.0,1.0,0.0,12.0,38.0,0.0,0.0,265.0,1324.0,1018.0,851.0,666.0,0.0,0.0,141.0,24.0,20.0,167.0,72.0,0.0,12.0,0.0,17.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0
37051003209,2144.0,968.0,789.0,639.0,516.0,0.0,0.0,50.0,11.0,62.0,133.0,74.0,28.0,0.0,24.0,0.0,7.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,179.0,1176.0,791.0,566.0,439.0,0.0,37.0,18.0,56.0,16.0,179.0,79.0,0.0,25.0,22.0,29.0,24.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,385.0
