,,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
,43,NC,"35.3686291614, -78.8694125204","{""coordinates"":[[[-79.076418,35.414787],[-79.071543,35.419676],[-79.069501,35.421717],[-79.068161,35.423066],[-79.067843,35.423388],[-79.065135,35.4261],[-79.064339,35.426893],[-79.064094,35.427143],[",37,85,1008560,37085,Harnett,Harnett County,6,H1,G4020,246,22180,,A,"1,541,100,224","16,378,002",35.3686348,-78.8716104,85
,44,NC,"35.5560557128, -82.9821729698","{""coordinates"":[[[-83.156565,35.552089],[-83.156059,35.552351],[-83.155835,35.552622],[-83.15589,35.553041],[-83.155939,35.553337],[-83.155988,35.553632],[-83.156037,35.553928],[-83.156208,35.554296],",37,87,1008561,37087,Haywood,Haywood County,6,H1,G4020,120,11700,,A,"1,433,713,829","2,438,478",35.5588823,-82.9813074,87
,45,NC,"35.3362263031, -82.4799463782","{""coordinates"":[[[-82.558487,35.444062],[-82.5581,35.444074],[-82.557911,35.444077],[-82.556952,35.444106],[-82.556901,35.444106],[-82.55491,35.444156],[-82.550433,35.44428],[-82.5494,35.444296],[-82.",37,89,1008562,37089,Henderson,Henderson County,6,H1,G4020,120,11700,,A,"965,918,074","5,547,623",35.3364146,-82.4797406,89
,46,NC,"36.3586360305, -76.9807147831","{""coordinates"":[[[-77.159534,36.365772],[-77.159437,36.366019],[-77.159335,36.366282],[-77.159232,36.366545],[-77.159129,36.366808],[-77.159027,36.367071],[-77.158924,36.367334],[-77.158822,36.367597]",37,91,1026127,37091,Hertford,Hertford County,6,H1,G4020,,,,A,"914,689,324","18,737,419",36.3635174,-76.981616,91
,47,NC,"35.0175290075, -79.237290715","{""coordinates"":[[[-79.367044,34.962484],[-79.36715,34.962481],[-79.367209,34.962421],[-79.367216,34.962414],[-79.367266,34.962311],[-79.367296,34.962238],[-79.367433,34.962137],[-79.367613,34.962123],",37,93,1008563,37093,Hoke,Hoke County,6,H1,G4020,246,22180,,A,"1,010,416,546","3,941,216",35.0172328,-79.2419635,93
,48,NC,"35.4081187361, -76.1449651093","{""coordinates"":[[[-76.429323,35.315244],[-76.429844,35.315719],[-76.430071,35.315925],[-76.430297,35.316131],[-76.430524,35.316338],[-76.43075,35.316544],[-76.430977,35.31675],[-76.43121,35.316952],[-",37,95,1008564,37095,Hyde,Hyde County,6,H1,G4020,,,,A,"1,585,966,935","2,192,929,400",35.4081567,-76.1536867,95
,49,NC,"35.8070259189, -80.8734378255","{""coordinates"":[[[-81.0299,35.889968],[-81.029893,35.889991],[-81.029848,35.890124],[-81.027228,35.897465],[-81.026384,35.899836],[-81.02376,35.907196],[-81.023471,35.90801],[-81.022028,35.912066],[-8",37,97,1008565,37097,Iredell,Iredell County,6,H1,G4020,172,16740,,A,"1,487,420,594","59,920,122",35.8062493,-80.8745203,97
,50,NC,"35.2875866253, -83.1408496187","{""coordinates"":[[[-83.322956,35.307387],[-83.322967,35.307427],[-83.322966,35.307647],[-83.322898,35.307789],[-83.32283,35.307953],[-83.322429,35.308288],[-83.322191,35.308564],[-83.321856,35.308869],",37,99,1008566,37099,Jackson,Jackson County,6,H1,G4020,,19000,,A,"1,271,961,083","9,754,330",35.2810521,-83.1199622,99
,51,NC,"35.5178069265, -78.3657109025","{""coordinates"":[[[-78.324246,35.779002],[-78.323755,35.77928],[-78.320102,35.781349],[-78.319192,35.781832],[-78.319043,35.78193],[-78.315972,35.783663],[-78.315291,35.784045],[-78.314995,35.784209],[",37,101,1026327,37101,Johnston,Johnston County,6,H1,G4020,450,39580,,A,"2,049,252,369","11,592,754",35.5134188,-78.3673482,101
,52,NC,"35.0217248029, -77.3551679748","{""coordinates"":[[[-77.577572,34.978371],[-77.577778,34.978394],[-77.57838,34.978457],[-77.58099,34.978715],[-77.585467,34.979159],[-77.585994,34.97921],[-77.588771,34.979483],[-77.597321,34.980337],[-",37,103,1026338,37103,Jones,Jones County,6,H1,G4020,404,35100,,A,"1,220,836,962","6,031,825",35.0322677,-77.3561946,103
,53,NC,"35.4751864248, -79.1714836119","{""coordinates"":[[[-79.280143,35.534112],[-79.278731,35.533234],[-79.276705,35.532157],[-79.276283,35.53197],[-79.27581,35.531827],[-79.275541,35.531779],[-79.275091,35.531806],[-79.274467,35.531916],[",37,105,1008567,37105,Lee,Lee County,6,H1,G4020,246,41820,,A,"660,607,408","10,725,289",35.4763365,-79.1721174,105
,54,NC,"35.2387731611, -77.6412486292","{""coordinates"":[[[-77.830886,35.233455],[-77.830876,35.233641],[-77.830852,35.234056],[-77.830843,35.234182],[-77.830809,35.234806],[-77.830528,35.239394],[-77.830423,35.241109],[-77.830401,35.24149],",37,107,1008568,37107,Lenoir,Lenoir County,6,H1,G4020,272,28820,,A,"1,033,630,022","5,900,301",35.2400677,-77.6355095,107
,55,NC,"35.4855950234, -81.2235326264","{""coordinates"":[[[-81.36112,35.416542],[-81.3613,35.41655],[-81.361815,35.416568],[-81.364072,35.416651],[-81.368131,35.416802],[-81.369317,35.416846],[-81.370394,35.416885],[-81.370891,35.416902],[-8",37,109,1008569,37109,Lincoln,Lincoln County,6,H1,G4020,172,16740,,A,"766,230,937","23,359,099",35.4884913,-81.2268916,109
,56,NC,"35.1504672096, -83.4221767088","{""coordinates"":[[[-83.580478,35.29146],[-83.578479,35.29165],[-83.576813,35.291808],[-83.57648,35.291839],[-83.575779,35.291906],[-83.573038,35.292165],[-83.572815,35.292187],[-83.569483,35.292502],[-",37,113,1025833,37113,Macon,Macon County,6,H1,G4020,,,,A,"1,335,344,512","10,604,264",35.1529593,-83.421901,113
